AOC,wine_basin,08/09,09/10,10/11,11/12,12/13,13/14,14/15,15/16,16/17,17/18,18/19,wine_type
BORDEAUX MOUSSEUX/CREMANT,SUD-OUEST,11,12,10,13,13,14,25,34,50,24,48,WHITE
CHAMPAGNE,CHAMPAGNE,2811,1809,1332,1904,1933,2575,2481,2238,1929,1958,2258,WHITE
CLAIRETTE DE DIE,VALLEE DU RHÔNE,74,87,87,86,88,94,94,96,87,40,95,WHITE
COTES DU JURA MOUSSEUX/CREMANT,BOURGOGNE BEAUJOLAIS SAVOIE JURA,18,18,18,23,16,15,16,16,20,7,19,WHITE
CREMANT DE BOURGOGNE,BOURGOGNE BEAUJOLAIS SAVOIE JURA,133,129,117,118,113,146,167,151,147,148,138,WHITE
CREMANT DE DIE,VALLEE DU RHÔNE,2,3,2,2,1,1,2,3,3,1,2,WHITE
CREMANT DE LOIRE,VAL DE LOIRE,88,95,81,87,75,104,112,101,111,117,59,WHITE
CREMANT D'ALSACE,ALSACE ET EST,249,250,236,184,271,240,272,246,297,241,332,WHITE
LIMOUX MOUSSEUX/CREMANT,LANGUEDOC-ROUSSILLON,60,59,83,84,76,80,76,75,81,66,66,WHITE
MONTLOUIS MOUSSEUX,VAL DE LOIRE,10,10,11,12,5,11,10,11,3,10,13,WHITE
SAUMUR MOUSSEUX,VAL DE LOIRE,73,92,89,85,65,68,69,79,70,79,73,WHITE
TOURAINE MOUSSEUX,VAL DE LOIRE,17,25,23,25,12,20,14,17,16,15,25,WHITE
VOUVRAY MOUSSEUX,VAL DE LOIRE,64,92,81,82,60,63,62,58,53,72,89,WHITE
ANJOU MOUSSEUX,VAL DE LOIRE,0,1,1,1,1,2,2,1,1,2,2,RED AND ROSE
BORDEAUX MOUSSEUX/CREMANT,SUD-OUEST,3,4,3,3,5,6,8,10,14,20,21,RED AND ROSE
CREMANT DE BOURGOGNE,BOURGOGNE BEAUJOLAIS SAVOIE JURA,3,2,2,2,1,2,2,3,5,3,6,RED AND ROSE
CREMANT DE LOIRE,VAL DE LOIRE,8,11,11,15,12,14,15,19,14,21,27,RED AND ROSE
SAUMUR MOUSSEUX,VAL DE LOIRE,6,8,10,14,7,4,7,5,5,6,9,RED AND ROSE
TOURAINE MOUSSEUX,VAL DE LOIRE,8,6,6,12,8,12,11,11,9,7,8,RED AND ROSE
BORDEAUX (Including BORDEAUX SUPERIEUR),SUD-OUEST,2374,2919,2825,2713,2627,1844,2657,2586,2849,1689,2751,RED AND ROSE
COTES DE BOURG,SUD-OUEST,158,190,187,181,173,111,175,166,171,132,132,RED AND ROSE
COTES DE CASTILLON,SUD-OUEST,95,83,100,83,77,40,78,80,87,36,71,RED AND ROSE
FRONSAC,SUD-OUEST,32,38,34,37,31,19,34,31,38,21,34,RED AND ROSE
GRAVES including GRAVES DE VAYRES),SUD-OUEST,117,134,143,134,128,96,130,137,145,84,146,RED AND ROSE
HAUT-MEDOC,SUD-OUEST,194,226,216,210,203,156,210,222,228,161,196,RED AND ROSE
LALANDE DE POMEROL,SUD-OUEST,44,56,52,57,49,40,54,53,60,20,51,RED AND ROSE
LUSSAC SAINT EMILION,SUD-OUEST,55,74,73,78,74,53,73,75,81,26,74,RED AND ROSE
MARGAUX,SUD-OUEST,61,64,64,55,63,48,65,72,75,49,57,RED AND ROSE
MEDOC,SUD-OUEST,270,293,277,272,262,212,228,271,284,236,283,RED AND ROSE
MONTAGNE SAINT EMILION,SUD-OUEST,63,76,76,82,79,57,78,75,86,30,68,RED AND ROSE
PAUILLAC,SUD-OUEST,53,56,54,53,47,37,47,54,54,56,47,RED AND ROSE
PREMIERES COTES DE BLAYE,SUD-OUEST,280,300,271,233,235,173,262,254,261,182,233,RED AND ROSE
PREMIERES COTES DE BORDEAUX,SUD-OUEST,103,138,156,89,82,54,75,76,84,45,59,RED AND ROSE
SAINT EMILION and SAINT EMILION GRAND CRU,SUD-OUEST,207,220,234,249,234,170,232,245,257,111,228,RED AND ROSE
SAINT ESTEPHE,SUD-OUEST,54,60,53,56,52,40,52,61,63,62,55,RED AND ROSE
SAINT JULIEN,SUD-OUEST,42,42,40,36,36,29,36,43,42,40,39,RED AND ROSE
BORDEAUX Including BORDEAUX SUPERIEUR),SUD-OUEST,243,333,365,358,338,303,326,313,362,204,327,WHITE
ENTRE DEUX MERS,SUD-OUEST,59,76,79,78,69,61,77,78,93,59,101,WHITE
GRAVES (including GRAVES SUPERIEUR),SUD-OUEST,29,46,51,45,42,34,37,35,44,19,42,WHITE
PREMIERES COTES DE BORDEAUX,SUD-OUEST,6,7,7,6,8,4,4,3,3,2,3,WHITE
LIQUOREUX (BARSAC CADILLAC CERONS LOUPIAC SAINTE-CROIX-DU-MONT and SAUTERNES),SUD-OUEST,49,80,81,63,64,58,47,59,72,44,78,WHITE
a/ SAUTERNES (subset),SUD-OUEST,21,39,41,29,29,27,22,28,36,20,46,WHITE
BEAUJOLAIS and BEAUJOLAIS Supérieur,BOURGOGNE BEAUJOLAIS SAVOIE JURA,292,318,315,297,186,239,252,210,246,174,274,RED AND ROSE
BEAUJOLAIS VILLAGES,BOURGOGNE BEAUJOLAIS SAVOIE JURA,185,225,210,236,125,183,198,145,188,157,211,RED AND ROSE
BEAUJOLAIS CRUS,BOURGOGNE BEAUJOLAIS SAVOIE JURA,234,264,236,271,182,264,294,239,248,234,330,RED AND ROSE
BOURGOGNE,BOURGOGNE BEAUJOLAIS SAVOIE JURA,86,100,83,92,61,121,143,119,111,134,151,RED AND ROSE
BOURGOGNE HAUTES COTES DE BEAUNE,BOURGOGNE BEAUJOLAIS SAVOIE JURA,33,32,29,31,19,30,33,27,18,33,35,RED AND ROSE
BOURGOGNE HAUTES COTES DE NUITS,BOURGOGNE BEAUJOLAIS SAVOIE JURA,23,26,24,24,20,24,26,21,17,26,28,RED AND ROSE
BOURGOGNE PASSE TOUT GRAINS,BOURGOGNE BEAUJOLAIS SAVOIE JURA,32,31,22,23,11,15,18,13,7,10,14,RED AND ROSE
MACON and MACON SUPERIEUR,BOURGOGNE BEAUJOLAIS SAVOIE JURA,25,25,26,27,16,19,24,18,23,18,22,RED AND ROSE
MERCUREY,BOURGOGNE BEAUJOLAIS SAVOIE JURA,17,20,15,15,21,21,25,21,22,25,25,RED AND ROSE
